Code,Activity Name,Category,Frequency,Assigned Role,Approval Flow,Weightage,,
ACT-ATT-01,Absent Report,Attendance Verification,Daily,"OE,hrbp",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,dr = operation director
ACT-ATT-02,Reliever Report,Attendance Verification,Daily,"OE,hrbp",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,hr dr = hr directore
ACT-ATT-03,Non App Usage Count,Attendance Verification,Daily,"OE,hrbp",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,hrbp= human resource business
ACT-ATT-04,Attendance Submission,Attendance Verification,Monthly,"OE,hrbp",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,th=  trainer head
ACT-ATT-05,Leave Approval,Attendance Verification,Weekly,"OE,hrbp",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,
ACT-ATT-06,Missing In-Out Time,Attendance Verification,Weekly,"OE,hrbp,if back office hod ",OE ? HOD ? RM ? AVP; HRBP ? HR DR,5,,
ACT-ATT-07,Regularization,Attendance Verification,Weekly,"OE,hrbp,if back office hod ",OE ? HOD ? RM ? AVP; HRBP ? HR DR,5,,
ACT-ATT-08,Non App Follow Up,Attendance Verification,Daily,"oe,hrbp,hr dr",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,
ACT-ATT-09,Weekoff Mapping,Attendance Verification,Daily,"hrbp,oe",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,
ACT-OPS-01,Site Visit Report,Site Operations,Daily,"oe,rm,avp,bh,dr",OE ? RM ? AVP ? BH ? DR,5,,
ACT-OPS-02,Next Month Visit Plan,Site Operations,Monthly,"oe,rm,avp,bh,dr",OE ? RM ? AVP ? BH ? DR,5,,
ACT-OPS-03,Visit Calendar Upload,Site Operations,Monthly,"oe,rm,avp,bh,dr",OE ? RM ? AVP ? BH ? DR,5,,
ACT-OPS-04,Site Mapping,Site Operations,Monthly,"oe,commerical",OE ? Commercial ? AVP ? BH,5,,
ACT-TRN-01,Training Report,Training,Monthly,"trainers,th,oe",Trainers ? TH ? OE ? AVP,5,,
ACT-TRN-02,Training Videos,Training,Monthly,"trainers,th,oe",Trainers ? TH ? OE ? AVP,5,,
ACT-TRN-03,Training Schedule Calendar,Training,Monthly,"trainers,th,oe",Trainers ? TH ? OE ? AVP,5,,
ACT-PRO-01,Material Delivery Status,Procurement & Logistics,Monthly,"oe,ph",OE ? PH ? AVP ? BH,5,,
ACT-PRO-02,Material Punch Performance,Procurement & Logistics,Monthly,"oe,ph",OE ? PH ? AVP ? BH,5,,
ACT-PRO-03,Uniform Request,Procurement & Logistics,One-Time,"oe,ph",OE ? PH ? AVP ? BH,5,,
ACT-PRO-04,Shoes Request,Procurement & Logistics,One-Time,"oe,ph",OE ? PH ? AVP ? BH,5,,
ACT-PRO-05,Sweater Request,Procurement & Logistics,One-Time,"oe,ph",OE ? PH ? AVP ? BH,5,,
ACT-PRO-06,Uniform Issuance,Procurement & Logistics,Monthly,"oe,ph",OE ? PH ? AVP ? BH,5,,
ACT-PRO-07,Shoes Issuance,Procurement & Logistics,Monthly,"oe,ph",OE ? PH ? AVP ? BH,5,,
ACT-EMP-01,Employee Grievance,Employee Relations,Daily,"hrbp,hr dr",HRBP ? HR DR,5,,
ACT-EMP-02,Referral Marking,Employee Relations,Daily,"hrbp,oe",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,
ACT-INC-01,Incident Report,Incident & Performance,Daily,"hrbp,oe,hr dr",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,
ACT-INC-02,Snaglist Report,Incident & Performance,Fortnightly,"oe,hrbp",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,
ACT-INC-03,Deep Cleaning Report,Incident & Performance,Weekly,"oe,hrbp",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,
ACT-INC-04,Pest Control Report,Incident & Performance,Monthly,"oe,hrbp",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,
ACT-PLN-01,R&R Schedule,Planning & Recognition,Monthly,"hrbp,hr dr",HRBP ? HR DR,5,,
ACT-PLN-02,R&R Completion,Planning & Recognition,Monthly,"hrbp,hr dr",HRBP ? HR DR,5,,
ACT-REP-01,MOM Report,Reporting & Closure,Monthly,"oe,rm,avp,bh,dr",OE ? RM ? AVP ? BH ? DR,5,,
ACT-REP-02,Closure Report,Reporting & Closure,Monthly,"oe,rm,avp,bh,dr",OE ? RM ? AVP ? BH ? DR,5,,
ACT-REP-03,Daily Closure Report,Reporting & Closure,Daily,"oe,rm,",OE ? RM ? AVP ? BH,5,,
ACT-QLY-01,Feedback,Quality & Feedback,Monthly,"oe,rm,avp,bh,dr",OE ? RM ? AVP ? BH ? DR,5,,
ACT-QLY-02,Material Quality,Quality & Feedback,Monthly,"oe,ph",OE ? PH ? AVP ? BH,5,,
ACT-QLY-03,Customer Service Report,Quality & Feedback,Monthly,"oe,rm,avp,bh,dr",OE ? RM ? AVP ? BH ? DR,5,,
ACT-QLY-04,Client Referral,Quality & Feedback,Monthly,"oe,hrbp",OE ? RM ? AVP ? BH; HRBP ? HR DR,5,,
